Data prepared by Tyler R. & Dave F.,,,,
avg,459877.534,MW,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,10,15,1.123964451
2015,7,10,16,1.187089952
2015,7,10,17,1.236581389
2015,7,10,18,1.279064439
2015,7,10,19,1.312564662
2015,7,10,20,1.333578952
2015,7,10,21,1.347567459
2015,7,10,22,1.348002357
2015,7,10,23,1.329206049
2015,7,10,24,1.293029026
2015,7,11,1,1.248391055
2015,7,11,2,1.214753839
2015,7,11,3,1.164723128
2015,7,11,4,1.093230181
2015,7,11,5,1.023639915
2015,7,11,6,0.960766655
2015,7,11,7,0.91284955
2015,7,11,8,0.875811428
2015,7,11,9,0.851581065
2015,7,11,10,0.840978242
2015,7,11,11,0.84038678
2015,7,11,12,0.854786266
2015,7,11,13,0.903740603
2015,7,11,14,0.971456457
2015,7,11,15,1.047765904
2015,7,11,16,1.119278421
2015,7,11,17,1.177215584
2015,7,11,18,1.221364295
2015,7,11,19,1.253616359
2015,7,11,20,1.277550992
2015,7,11,21,1.293987977
2015,7,11,22,1.299176315
2015,7,11,23,1.288077708
2015,7,11,24,1.260279003
2015,7,12,1,1.224147644
2015,7,12,2,1.198158116
2015,7,12,3,1.151345654
2015,7,12,4,1.084880132
2015,7,12,5,1.017001191
2015,7,12,6,0.957357051
2015,7,12,7,0.908293989
2015,7,12,8,0.870277346
2015,7,12,9,0.845290259
2015,7,12,10,0.831899738
2015,7,12,11,0.825558919
2015,7,12,12,0.833119628
2015,7,12,13,0.874952504
2015,7,12,14,0.946310632
2015,7,12,15,1.02077176
2015,7,12,16,1.091992896
2015,7,12,17,1.158121371
2015,7,12,18,1.210928908
2015,7,12,19,1.252709596
2015,7,12,20,1.284033153
2015,7,12,21,1.308902817
2015,7,12,22,1.319199037
2015,7,12,23,1.322278118
2015,7,12,24,1.306815305
2015,7,13,1,1.276074512
2015,7,13,2,1.253031421
2015,7,13,3,1.205762315
2015,7,13,4,1.127919852
2015,7,13,5,1.050551428
2015,7,13,6,0.991507448
2015,7,13,7,0.9447363
2015,7,13,8,0.908781076
2015,7,13,9,0.892100548
2015,7,13,10,0.899350304
2015,7,13,11,0.930280278
2015,7,13,12,0.976673063
2015,7,13,13,1.03618021
2015,7,13,14,1.105724812
2015,7,13,15,1.180803496
2015,7,13,16,1.255371174
2015,7,13,17,1.318603226
2015,7,13,18,1.371001959
2015,7,13,19,1.408614146
2015,7,13,20,1.435042922
2015,7,13,21,1.452606293
2015,7,13,22,1.460251807
2015,7,13,23,1.449799024
2015,7,13,24,1.420391195
2015,7,14,1,1.384325071
2015,7,14,2,1.347019487
2015,7,14,3,1.279447149
2015,7,14,4,1.191554184
2015,7,14,5,1.105279041
2015,7,14,6,1.037539268
2015,7,14,7,0.983333532
2015,7,14,8,0.945810499
2015,7,14,9,0.926442299
2015,7,14,10,0.934994576
2015,7,14,11,0.96545051
2015,7,14,12,1.006672355
2015,7,14,13,1.061239056
2015,7,14,14,1.124460235
2015,7,14,15,1.191602023
2015,7,14,16,1.251894162
2015,7,14,17,1.306289078
2015,7,14,18,1.35023991
2015,7,14,19,1.386506087
2015,7,14,20,1.410771242
2015,7,14,21,1.426084015
2015,7,14,22,1.431052729
2015,7,14,23,1.415355071
2015,7,14,24,1.388493572
2015,7,15,1,1.348176317
2015,7,15,2,1.308915864
2015,7,15,3,1.24884335
2015,7,15,4,1.165118886
2015,7,15,5,1.084503945
2015,7,15,6,1.018323282
2015,7,15,7,0.964913411
2015,7,15,8,0.927246861
2015,7,15,9,0.907130636
2015,7,15,10,0.912575564
2015,7,15,11,0.944014369
2015,7,15,12,0.983714068
2015,7,15,13,1.030309082
2015,7,15,14,1.086004345
2015,7,15,15,1.146355195
2015,7,15,16,1.202978965
2015,7,15,17,1.251059157
2015,7,15,18,1.291863498
2015,7,15,19,1.326894564
2015,7,15,20,1.352175207
2015,7,15,21,1.369695089
2015,7,15,22,1.376879611
2015,7,15,23,1.36061876
2015,7,15,24,1.333602872
2015,7,16,1,1.297799862
2015,7,16,2,1.267065592
2015,7,16,3,1.208043357
2015,7,16,4,1.127350135
2015,7,16,5,1.047291864
2015,7,16,6,0.982805131
2015,7,16,7,0.930502076
2015,7,16,8,0.89356833
2015,7,16,9,0.874895967
2015,7,16,10,0.882034824
2015,7,16,11,0.909033317
2015,7,16,12,0.947123892
2015,7,16,13,0.993805886
2015,7,16,14,1.050618837
2015,7,16,15,1.112122168
2015,7,16,16,1.171572778
2015,7,16,17,1.222453715
2015,7,16,18,1.266350184
2015,7,16,19,1.304049351
2015,7,16,20,1.335068479
2015,7,16,21,1.357737558
2015,7,16,22,1.370947597
2015,7,16,23,1.362447507
2015,7,16,24,1.3346575
2015,7,17,1,1.302531556
2015,7,17,2,1.274832877
2015,7,17,3,1.218330878
2015,7,17,4,1.13800732
2015,7,17,5,1.059112403
2015,7,17,6,0.993431873
2015,7,17,7,0.943718638
2015,7,17,8,0.907463333
2015,7,17,9,0.889486808
2015,7,17,10,0.896345156
2015,7,17,11,0.926305306
2015,7,17,12,0.964941679
2015,7,17,13,1.016718507
2015,7,17,14,1.084273449
2015,7,17,15,1.157423359
2015,7,17,16,1.228935876
2015,7,17,17,1.288777894
2015,7,17,18,1.33908694
2015,7,17,19,1.37859311
2015,7,17,20,1.405554636
2015,7,17,21,1.423231081
2015,7,17,22,1.427369139
2015,7,17,23,1.40930346
2015,7,17,24,1.377284066
2015,7,18,1,1.342187766
2015,7,18,2,1.307047976
2015,7,18,3,1.25147231
2015,7,18,4,1.171076994
